Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,BranchLength,IrrelevantFeature,Species
410,6.3,4.0,4.1,1.7,16.3,52.0,Iris-versicolor
411,6.6,3.0,5.6,1.9,16.5,14.1,Iris-virginica
412,5.8,2.8,4.2,1.3,15.9,18.5,Iris-versicolor
413,6.6,2.9,4.5,1.6,16.6,78.5,Iris-versicolor
414,6.9,3.1,9.2,2.2,16.8,56.1,Iris-virginica
415,6.1,2.5,4.6,1.5,16.1,29.2,Iris-versicolor
416,5.5,2.3,3.9,1.1,15.4,29.1,Iris-versicolor
417,5.7,2.8,4.2,1.1,15.9,18.5,Iris-versicolor
418,5.7,2.9,4.6,1.7,15.7,30.4,Iris-versicolor
419,9.3,2.9,4.5,1.5,19.6,59.2,Iris-versicolor
420,7.8,3.0,6.8,,17.7,0.6,Iris-virginica
421,6.6,3.1,4.4,1.5,16.6,78.5,Iris-versicolor
422,6.3,3.2,4.4,1.6,16.4,95.1,Iris-versicolor
423,6.8,3.0,4.8,1.7,17.1,73.2,Iris-versicolor
424,,2.6,3.8,0.9,,17.1,Iris-versicolor
425,8.0,2.0,6.4,2.0,18.0,62.3,Iris-virginica
426,5.9,2.7,3.9,1.3,15.7,6.5,Iris-versicolor
427,,2.7,5.2,1.8,,77.5,Iris-virginica
428,6.7,3.0,9.0,2.3,16.7,56.1,Iris-virginica
429,6.9,3.2,4.8,1.5,17.0,37.5,Iris-versicolor
430,7.2,3.2,4.6,1.4,16.9,37.5,Iris-versicolor
431,9.4,3.0,4.5,1.4,19.4,59.2,Iris-versicolor
432,6.3,2.7,5.0,1.4,16.3,6.4,Iris-virginica
433,6.1,2.9,4.7,1.8,16.1,88.7,Iris-virginica
434,6.7,3.1,9.0,2.5,16.5,12.0,Iris-virginica
435,5.8,2.8,3.9,1.0,15.7,6.5,Iris-versicolor
436,5.9,2.0,5.2,1.4,16.0,98.7,Iris-virginica
437,6.3,2.7,4.9,2.0,16.3,81.5,Iris-virginica
438,5.6,2.5,4.1,1.4,15.3,44.0,Iris-versicolor
439,5.4,2.3,0.7,1.4,15.6,59.9,Iris-versicolor
440,5.5,2.4,0.6,1.4,15.5,59.9,Iris-versicolor
441,,2.4,3.8,0.9,,17.1,Iris-versicolor
442,6.1,2.7,4.7,1.8,16.2,77.1,Iris-virginica
443,7.6,3.1,6.6,2.2,17.4,92.2,Iris-virginica
444,6.3,3.2,5.6,1.9,16.3,63.8,Iris-virginica
445,6.0,2.6,9.1,,15.9,94.9,Iris-versicolor
446,6.2,2.7,9.0,,15.9,94.9,Iris-versicolor
447,6.3,2.4,5.6,1.3,15.9,31.1,Iris-virginica
448,6.1,3.1,4.9,1.8,16.2,7.4,Iris-virginica
449,6.8,2.9,4.9,1.5,16.8,20.0,Iris-versicolor
450,6.7,2.9,4.3,1.4,17.0,18.3,Iris-versicolor
451,5.9,3.2,4.7,1.7,16.0,88.7,Iris-virginica
452,6.0,3.1,4.9,1.7,16.1,88.7,Iris-virginica
453,6.3,3.4,,2.3,16.0,2.5,Iris-virginica
454,5.6,2.3,3.9,1.2,15.7,29.1,Iris-versicolor
455,5.6,2.8,4.1,1.2,15.9,31.2,Iris-versicolor
456,7.2,3.1,6.1,1.9,17.3,72.9,Iris-virginica
457,,2.7,5.1,1.7,,77.5,Iris-virginica
458,6.2,2.8,4.9,1.8,16.1,7.4,Iris-virginica
459,5.6,1.9,9.1,4.1,15.9,15.6,Iris-versicolor
460,5.6,2.5,3.8,1.1,15.6,29.1,Iris-versicolor
461,7.4,2.7,0.5,2.0,17.3,86.3,Iris-virginica
462,6.2,3.3,4.8,0.1,16.3,5.8,Iris-versicolor
463,,2.7,4.2,0.9,,52.5,Iris-versicolor
464,6.8,2.7,4.7,1.3,16.8,20.0,Iris-versicolor
465,3.1,2.4,3.4,1.1,13.0,86.6,Iris-versicolor
466,7.8,1.7,6.3,1.9,18.0,62.3,Iris-virginica
467,6.0,2.2,5.0,1.6,16.1,98.7,Iris-virginica
468,5.6,2.4,5.0,2.1,15.7,35.7,Iris-virginica
469,6.4,2.5,5.1,1.9,16.4,52.3,Iris-virginica
470,6.3,2.6,5.1,2.0,16.3,52.3,Iris-virginica
471,,3.4,9.0,2.2,,77.2,Iris-virginica
472,6.8,2.8,5.0,1.6,16.7,51.4,Iris-versicolor
473,6.9,4.0,5.0,-1.0,16.7,71.3,Iris-virginica
474,5.6,2.8,,2.1,15.5,19.9,Iris-virginica
475,6.7,2.8,4.9,1.4,16.8,20.0,Iris-versicolor
476,6.1,3.3,4.5,1.7,16.2,80.8,Iris-versicolor
477,6.4,3.3,5.6,2.4,16.2,73.0,Iris-virginica
478,5.7,2.5,5.1,2.1,15.6,35.7,Iris-virginica
479,6.6,2.8,9.1,1.4,16.5,60.1,Iris-versicolor
480,6.5,3.5,5.6,2.3,16.4,73.0,Iris-virginica
481,6.5,3.2,0.7,1.8,16.7,38.9,Iris-virginica
482,5.7,2.9,3.6,1.4,15.7,18.2,Iris-versicolor
483,4.9,1.9,3.5,1.0,15.0,2.1,Iris-versicolor
484,6.6,3.1,5.7,2.5,16.6,77.1,Iris-virginica
485,5.7,2.7,4.0,1.3,15.6,6.5,Iris-versicolor
486,5.9,2.6,3.8,1.1,15.7,6.5,Iris-versicolor
487,5.5,2.9,4.4,1.4,15.7,96.6,Iris-versicolor
488,6.6,3.2,0.7,2.0,16.4,38.9,Iris-virginica
489,5.1,2.4,0.7,1.3,15.2,54.7,Iris-versicolor
490,7.6,2.9,6.6,2.1,17.4,92.2,Iris-virginica
491,7.1,2.9,6.0,2.3,16.9,93.9,Iris-virginica
492,9.3,2.9,4.3,1.5,19.5,59.2,Iris-versicolor
493,6.4,2.8,0.7,1.9,16.5,27.1,Iris-virginica
494,9.6,3.1,5.1,1.7,19.3,10.8,Iris-virginica
495,3.1,2.5,3.0,1.0,13.2,86.6,Iris-versicolor
496,6.4,3.1,5.6,1.9,16.4,63.8,Iris-virginica
497,6.4,3.3,5.7,2.5,16.4,73.0,Iris-virginica
498,3.0,3.0,6.1,4.3,13.0,32.5,Iris-virginica
499,6.1,3.9,4.2,1.3,16.1,52.0,Iris-versicolor
500,5.4,2.4,3.6,1.1,15.5,60.8,Iris-versicolor
